document_id,person_id,role
089978db-d526-5bc1-8382-6e9fe7102f49,0bb43c14-2a61-5b06-8b19-698ea1e0d9e5,author
089978db-d526-5bc1-8382-6e9fe7102f49,713d942c-df46-5ba7-b38c-e08e2a293d6c,author
0d0ecc94-e4d5-5baf-b174-67112069445c,1b14188d-572a-5e07-8489-535cd2ffaaa2,author
6240cad9-e9e2-5243-8c17-9130a30b78bb,1ad91181-a4aa-5c61-a470-f2cfb511e460,author
6c385f7f-a8d5-5b66-bdff-8bef2e4bd92e,a7009571-f8b0-5756-81e0-e01db19ba3e3,author
aba80607-e798-5387-bc7d-fa61e41b7fc6,b1e43ba6-ac03-58d0-9249-5bca9ee24edd,author
dc72c41b-e1e8-5f31-99cb-9dc1e3986d67,ce0e18ae-f3b5-5809-9064-4fb204bc0664,author
0a6071cc-d458-58d5-8626-010d9776ea35,3e077676-4988-52b8-8b56-b8ed9c982d96,author
0a6071cc-d458-58d5-8626-010d9776ea35,ea91920b-374f-5324-b113-ae06c56b9843,author
0a6071cc-d458-58d5-8626-010d9776ea35,f0057e03-8bbe-5150-aa6e-afc3279e007b,author
0a6071cc-d458-58d5-8626-010d9776ea35,b97f64d0-ca9f-5e6a-8e0d-3390b8f4abc4,editor
31d3a4d0-34c8-5288-b266-788b7f5d7891,91d63543-6329-57df-a9a7-57d10c658e08,author
31d3a4d0-34c8-5288-b266-788b7f5d7891,f35995fc-4f41-5fd2-af7f-313cb3c10290,editor
bc4b77a3-39fe-52c3-bab1-5933bc5c32ad,e5075690-d521-55ba-b79c-f7a4557885b3,author
bc4b77a3-39fe-52c3-bab1-5933bc5c32ad,537af2d3-556c-5831-85c9-b3b137d8b493,editor
e9a61758-2d50-5852-99c2-12a544ed29c5,0c0a940e-f0c3-556f-a506-71f0f4993650,author
16e6b3f3-4466-5afe-be82-f5a6e72e865a,bf1d44d4-f040-5255-b691-75ce4365b9e7,author
16e6b3f3-4466-5afe-be82-f5a6e72e865a,f9831bae-51cc-5f29-a139-7dfa30bafd6d,author
16e6b3f3-4466-5afe-be82-f5a6e72e865a,45d75997-8d9f-52b8-a4ec-a348af1904a0,translator
683049c6-2238-50ce-abba-9205e7b1b01a,95f91a1c-0877-52af-afb7-3cd28936325a,author
683049c6-2238-50ce-abba-9205e7b1b01a,8f7bdad7-cab6-57fa-8427-1a73294fc05a,author
36ae1710-260c-5f1d-85cb-7fddcd609b1e,37fbe4bd-8ae2-51d4-8344-7b9c909f8f19,author
3c71650f-f43c-5e2d-ac47-a553d1ce6baa,70fc8d2c-e0ef-50b6-b176-0e36f85a721e,translator
b523299a-a9fe-5057-9912-3d3fcad18096,e58f2c37-a6c6-5f64-bc7a-5fc864dd2ffe,author
95b02c4f-765c-5901-913f-53ecc688485c,2fe95d12-0fb5-5070-89dd-b5270b0d152c,author
2125e5f8-b03b-5c76-bc69-549e3b9645a5,513f7438-a83a-5596-807b-be36a4566f90,chair
2125e5f8-b03b-5c76-bc69-549e3b9645a5,0979e2c5-b7d0-5c1d-a8cd-d43606e40062,chair
06f67617-17c0-5c0f-b1b7-47bf662a7fba,8ea65452-8cc0-5ccf-a633-6bf7f8b6e585,chair
9bc5ab5f-5638-5f0a-b2b5-158b1c879aa3,c145ef8c-3f16-5a4a-841a-2846f6167ba1,commission chair
