id,slug,title,subtitle,display_date,date_start,date_end,document_type,medium,language,region,publication_place,publisher,summary,abstract,editorial_note,citation,rights_statement,source_url,external_access_url,access_type,hosting_status,cover_image_path,thumbnail_path,is_featured,status,published_at,content_language,translation_language,translation_text_path,translation_provider,translation_note,reader_mode,source_kind,publication_title
6c385f7f-a8d5-5b66-bdff-8bef2e4bd92e,eighth-colloquy-bangue,Eighth Colloquy: Bangue,,1563; Portuguese edition 1891,1563,1563,Book Excerpt,Text,Portuguese,Goa; India; Portuguese Empire,Goa; Lisbon,Original: Joannes de Endem; critical edition: Imprensa Nacional,"A sixteenth-century Portuguese-Goan discussion of bangue, or bhang, describing cannabis preparations in South Asia, their relation to opium, and accounts of intoxication, appetite, laughter, sleep, and imaginative travel.","A sixteenth-century Portuguese-Goan discussion of bangue, or bhang, describing cannabis preparations in South Asia, their relation to opium, and accounts of intoxication, appetite, laughter, sleep, and imaginative travel.",Portuguese transcript drawn from the 1891 Conde de Ficalho edition of Garcia da Orta's 1563 Colóquios; this record previously used the 1913 Clements Markham English translation as its transcript.,"Orta, Garcia de. ""Colóquio octavo do Bangue."" In Colóquios dos simples e drogas da India, edited by Conde de Ficalho, vol. 1, 95-101. Lisbon: Imprensa Nacional, 1891. First published Goa, 1563.",Public domain text from the 1891 critical edition of a 1563 Portuguese work.,https://archive.org/details/coloquiosdossimp01ortauoft,https://archive.org/download/coloquiosdossimp01ortauoft/coloquiosdossimp01ortauoft_djvu.txt,hosted,full_text,documents/6c385f7f-a8d5-5b66-bdff-8bef2e4bd92e/images/eighth-colloquy-bangue/01-garcia-da-orta-colloquies-cover.jpg,documents/6c385f7f-a8d5-5b66-bdff-8bef2e4bd92e/images/eighth-colloquy-bangue/01-garcia-da-orta-colloquies-cover.jpg,False,published,,Portuguese,English,translations/eighth-colloquy-bangue.md,llm,AI-generated English translation prepared by the Psychedelic History Archive from the Portuguese text in the 1891 Ficalho edition. Review against the Portuguese transcript and facsimile before quoting.,translation,,
0d0ecc94-e4d5-5baf-b174-67112069445c,el-contexto-cultural-de-un-alucinogeno-aborigen-banisteriopsis-caapi,El contexto cultural de un alucinógeno aborigen: Banisteriopsis caapi,,1969,1969,1969,Academic Article,Text,Spanish,Colombia; Vaupés; Northwest Amazon,Bogotá,"Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales","A Colombian Amazon ethnographic study placing Tukano use of Banisteriopsis caapi, or yajé, within a wider cultural system of mythology, ritual, symbolism, perception, and social knowledge.","A Colombian Amazon ethnographic study placing Tukano use of Banisteriopsis caapi, or yajé, within a wider cultural system of mythology, ritual, symbolism, perception, and social knowledge.",Imported from Latin American psychedelic research corpus; OCR and metadata reviewed at staging level.,"Reichel-Dolmatoff, Gerardo. ""El contexto cultural de un alucinógeno aborigen: Banisteriopsis caapi."" Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales 13, no. 51 (1969): 327-345. https://doi.org/10.18257/raccefyn.13(51).1969.3516.",Open-access journal scan; review license terms before republication.,https://raccefyn.co/index.php/raccefyn/article/download/3516/4778/35485,https://raccefyn.co/index.php/raccefyn/article/view/3516,hosted,full_text,documents/0d0ecc94-e4d5-5baf-b174-67112069445c/images/el-contexto-cultural-de-un-alucinogeno-aborigen-banisteriopsis-caapi/01-reichel-dolmatoff-1969-caapi-cover.jpg,documents/0d0ecc94-e4d5-5baf-b174-67112069445c/images/el-contexto-cultural-de-un-alucinogeno-aborigen-banisteriopsis-caapi/01-reichel-dolmatoff-1969-caapi-cover.jpg,True,published,,Spanish,English,translations/el-contexto-cultural-de-un-alucinogeno-aborigen-banisteriopsis-caapi.md,llm,English translation prepared by the Psychedelic History Archive from the Spanish article; consult the original PDF for formal quotation.,translation,,
aba80607-e798-5387-bc7d-fa61e41b7fc6,psychotropic-properties-of-the-harmala-alkaloids,Psychotropic Properties of the Harmala Alkaloids,,1967,1967,1967,Academic Article,Text,English,Chile; South America,"Washington, DC",U.S. Public Health Service,"A Chilean psychiatrist's report on harmala alkaloids, ayahuasca-related beta-carbolines, and comparative human experiments with harmaline and mescaline at the University of Chile.","A Chilean psychiatrist's report on harmala alkaloids, ayahuasca-related beta-carbolines, and comparative human experiments with harmaline and mescaline at the University of Chile.",Imported from Latin American psychedelic research corpus; OCR and metadata reviewed at staging level.,"Naranjo, Claudio. ""Psychotropic Properties of the Harmala Alkaloids."" In Ethnopharmacologic Search for Psychoactive Drugs, edited by Daniel H. Efron, Bo Holmstedt, and Nathan S. Kline, 385-391. U.S. Public Health Service Publication No. 1645. Washington, DC: U.S. Government Printing Office, 1967.",Source PDF describes the 1967 U.S. government publication as copyright-free; review before republication.,https://www.claudionaranjo.net/pdf_files/psychedelics/psychotropic_properties_of_the_harmala_alkaloids_english.pdf,https://pubmed.ncbi.nlm.nih.gov/5615550/,hosted,full_text,documents/aba80607-e798-5387-bc7d-fa61e41b7fc6/images/psychotropic-properties-of-the-harmala-alkaloids/01-claudio-naranjo.jpg,documents/aba80607-e798-5387-bc7d-fa61e41b7fc6/images/psychotropic-properties-of-the-harmala-alkaloids/01-claudio-naranjo.jpg,True,published,,,,,,,,,
6240cad9-e9e2-5243-8c17-9130a30b78bb,sahagun-ololiuhqui-peyotl-teonanacatl,"Ololiuhqui, Peyotl, and Teonanácatl in the Florentine Codex",Sahagún’s Book 11 on herbs that intoxicate,c. 1577,1577,1577,Book Excerpt,Text,Spanish,New Spain; Mexico; Tlatelolco,"Tlatelolco, New Spain",Imperial Colegio de la Santa Cruz; Digital Florentine Codex,"Compiled at Tlatelolco in 1577, the Florentine Codex preserves Nahua and Spanish accounts of plants that “intoxicate” in Book 11’s natural-history encyclopedia. This excerpt gathers Sahagún’s Spanish notices on ololiuhqui, peyotl, tlapatl, mixitl, and teonanácatl, names that later became central to histories of psychedelics, ethnobotany, and colonial medicine in Mexico.","Compiled at Tlatelolco in 1577, the Florentine Codex preserves Nahua and Spanish accounts of plants that “intoxicate” in Book 11’s natural-history encyclopedia. This excerpt gathers Sahagún’s Spanish notices on ololiuhqui, peyotl, tlapatl, mixitl, and teonanácatl, names that later became central to histories of psychedelics, ethnobotany, and colonial medicine in Mexico.","Staged from the Digital Florentine Codex API in July 2026. Spanish transcript follows the López Austin and García Quintana transcription exposed by Getty, with page-break continuations joined for readability; English translation prepared for the archive.","Sahagún, Bernardino de. “Capítulo VII en que se trata de todas las yerbas: Párrafo primero, de ciertas yerbas que enborrachan.” In Historia general de las cosas de Nueva España, Book 11, fols. 129v-131r. Florentine Codex, Biblioteca Medicea Laurenziana, Mediceo Palatino 220, c. 1577. Digital Florentine Codex, Getty Research Institute, 2023.","Sixteenth-century manuscript text is public domain. Digital folio images, PDFs, and Spanish transcription are accessed through the Getty Research Institute’s Digital Florentine Codex; review Getty citation and permissions guidance before republication.",https://florentinecodex.getty.edu/book/11/folio/129v,https://dfc-be.ch.digtest.co.uk/codex/codex_folio/book/11/folio/129v/,hosted,translation_transcript_pdf,documents/6240cad9-e9e2-5243-8c17-9130a30b78bb/pdf-thumbnails/sahagun-ololiuhqui-peyotl-teonanacatl/page-001.jpg,documents/6240cad9-e9e2-5243-8c17-9130a30b78bb/pdf-thumbnails/sahagun-ololiuhqui-peyotl-teonanacatl/page-001.jpg,False,published,,Spanish,English,translations/sahagun-ololiuhqui-peyotl-teonanacatl.md,human,Archive translation from the Spanish transcription exposed by the Digital Florentine Codex; verify against the Spanish original and the folio PDF.,translation,,
dc72c41b-e1e8-5f31-99cb-9dc1e3986d67,the-narcotic-pepper-the-chemistry-and-pharmacology-of-piper-methysticum-and-related-species,The Narcotic Pepper: The Chemistry and Pharmacology of Piper methysticum and Related Species,,1973,1973,1973,Academic Article,Text,English,Oceania; Polynesia; Melanesia; Micronesia,Vienna,Bulletin on Narcotics,"Alexander Shulgin's review of kava, Piper methysticum, covering Pacific preparation practices, pharmacological classification, and the chemistry of kavalactones and related Piper species.","Alexander Shulgin's review of kava, Piper methysticum, covering Pacific preparation practices, pharmacological classification, and the chemistry of kavalactones and related Piper species.",Imported from Latin American psychedelic research corpus; OCR and metadata reviewed at staging level.,"Shulgin, Alexander T. ""The Narcotic Pepper: The Chemistry and Pharmacology of Piper methysticum and Related Species."" Bulletin on Narcotics 25, no. 2 (1973): 59-74.",Historical article mirrored online; review rights status before republication.,https://isomerdesign.com/bitnest/external/Sasha/NarcoticPepper,https://docslib.org/doc/7411844/the-narcotic-pepper-the-chemistry-and-pharmacology-of-piper-methysticum-and-related-species,hosted,full_text,documents/dc72c41b-e1e8-5f31-99cb-9dc1e3986d67/images/the-narcotic-pepper-the-chemistry-and-pharmacology-of-piper-methysticum-and-related-species/01-shulgin-1973-narcotic-pepper-cover.jpg,documents/dc72c41b-e1e8-5f31-99cb-9dc1e3986d67/images/the-narcotic-pepper-the-chemistry-and-pharmacology-of-piper-methysticum-and-related-species/01-shulgin-1973-narcotic-pepper-cover.jpg,False,published,,,,,,,,,
089978db-d526-5bc1-8382-6e9fe7102f49,virola-theiodora-como-alucinogena-e-toxica,Virola theiodora como alucinógena e tóxica,,1974,1974,1974,Academic Article,Text,Portuguese,Brazil; Roraima; Northwest Amazon,Manaus,Acta Amazonica,A short Brazilian natural-products chemistry article confirming the double use of Virola theiodora bark in Yomanê hallucinogenic snuff and arrow poison from the Tototobi River region of Roraima.,A short Brazilian natural-products chemistry article confirming the double use of Virola theiodora bark in Yomanê hallucinogenic snuff and arrow poison from the Tototobi River region of Roraima.,Imported from Latin American psychedelic research corpus; OCR and metadata reviewed at staging level.,"Maia, J. G. Soares, and William Antônio Rodrigues. ""Virola theiodora como alucinógena e tóxica."" Acta Amazonica 4, no. 1 (1974): 21-23. https://doi.org/10.1590/1809-43921974041021.",Open access article mirrored by SciELO and INPA; SciELO page identifies reuse terms separately from INPA metadata. Review license before republication.,https://www.scielo.br/j/aa/a/dRsCSM9kLRyNHMkmdWhnXDQ/?format=pdf&lang=pt,https://repositorio.inpa.gov.br/handle/1/14283,hosted,full_text,documents/089978db-d526-5bc1-8382-6e9fe7102f49/images/virola-theiodora-como-alucinogena-e-toxica/01-maia-rodrigues-1974-virola-theiodora-cover.jpg,documents/089978db-d526-5bc1-8382-6e9fe7102f49/images/virola-theiodora-como-alucinogena-e-toxica/01-maia-rodrigues-1974-virola-theiodora-cover.jpg,True,published,,,,,,,,,
0a6071cc-d458-58d5-8626-010d9776ea35,ololiuhqui-peyote-idolatrias-supersticiones,Ololiuhqui and Peyote in Idolatrías y supersticiones de los indios,"Colonial anti-idolatry texts on divination, healing, and visionary plants",1629-1656; published 1892,1629,1656,Book Excerpt,Text,Spanish,New Spain; Mexico,Mexico City,Imprenta del Museo Nacional,"A set of Spanish colonial anti-idolatry excerpts describing ololiuhqui and peyote as oracular substances used in healing, theft investigation, divination, and diagnosis of sorcery. The source preserves rare early descriptions of visionary plant practice while also showing how clerical authorities criminalized and demonized Indigenous ritual knowledge.","A set of Spanish colonial anti-idolatry excerpts describing ololiuhqui and peyote as oracular substances used in healing, theft investigation, divination, and diagnosis of sorcery. The source preserves rare early descriptions of visionary plant practice while also showing how clerical authorities criminalized and demonized Indigenous ritual knowledge.","Staged in July 2026 from the public-domain Internet Archive scan. Excerpt PDF includes source pages 11, 142-147, and 385-388 from the 1892 edition.","Ponce de León, Pedro, Hernando Ruiz de Alarcón, Jacinto de la Serna, and others. Idolatrías y supersticiones de los indios. Edited by Nicolás León. Anales del Museo Nacional de México, tomo 6. Mexico: Imprenta del Museo Nacional, 1892, pp. 11, 142-147, 385-388.",Public domain. The excerpt PDF was prepared from the Internet Archive scan of the 1892 Museo Nacional edition.,https://archive.org/details/idolatrasysupers00ponc,https://archive.org/download/idolatrasysupers00ponc/idolatrasysupers00ponc.pdf,hosted,translation_transcript_pdf,documents/0a6071cc-d458-58d5-8626-010d9776ea35/pdf-thumbnails/ololiuhqui-peyote-idolatrias-supersticiones/page-001.jpg,documents/0a6071cc-d458-58d5-8626-010d9776ea35/pdf-thumbnails/ololiuhqui-peyote-idolatrias-supersticiones/page-001.jpg,False,published,,Spanish,English,translations/ololiuhqui-peyote-idolatrias-supersticiones.md,,Archive translation from selected Spanish passages in the 1892 public-domain Museo Nacional edition; verify against the PDF for formal quotation.,translation,,
31d3a4d0-34c8-5288-b266-788b7f5d7891,spruce-caapi-niopo-remarkable-narcotics,Caapi and Niopo in “On Some Remarkable Narcotics of the Amazon Valley and Orinoco”,"Richard Spruce on ayahuasca, yopo/paricá, and Amazonian medicine-men",c. 1870; published 1908,1870,1870,Book Excerpt,Text,English,Amazonia; Orinoco; Uaupés; Ecuadorian Andes,London,Macmillan,"Richard Spruce's nineteenth-century account of caapi, aya-huasca, niopo, and paricá, based on field observations in the Uaupés, Orinoco, Rio Negro, Napo, and Pastasa regions. The excerpt records plant identifications, preparation methods, visual effects, ceremonial uses, and the role of payes in curing and divination.","Richard Spruce's nineteenth-century account of caapi, aya-huasca, niopo, and paricá, based on field observations in the Uaupés, Orinoco, Rio Negro, Napo, and Pastasa regions. The excerpt records plant identifications, preparation methods, visual effects, ceremonial uses, and the role of payes in curing and divination.","Staged in July 2026 from the public-domain Internet Archive scan of Notes of a Botanist on the Amazon & Andes, vol. 2. Excerpt PDF includes chapter 25 pages 413-433, covering caapi/ayahuasca and niopo/paricá before the later stimulant sections.","Spruce, Richard. “On Some Remarkable Narcotics of the Amazon Valley and Orinoco.” In Notes of a Botanist on the Amazon & Andes, edited by Alfred Russel Wallace, vol. 2, 413-433. London: Macmillan, 1908. Essay compiled c. 1870 from field observations made in the 1850s.",Public domain. The excerpt PDF was prepared from the Internet Archive scan of the 1908 Macmillan edition.,https://archive.org/details/notesofbotanisto00spruuoft,https://archive.org/download/notesofbotanisto00spruuoft/notesofbotanisto00spruuoft.pdf,hosted,transcript_pdf,documents/31d3a4d0-34c8-5288-b266-788b7f5d7891/pdf-thumbnails/spruce-caapi-niopo-remarkable-narcotics/page-001.jpg,documents/31d3a4d0-34c8-5288-b266-788b7f5d7891/pdf-thumbnails/spruce-caapi-niopo-remarkable-narcotics/page-001.jpg,False,published,,English,,,,,pdf,,
bc4b77a3-39fe-52c3-bab1-5933bc5c32ad,duran-hongos-monteses-teonanacatl,Hongos monteses in Durán's Historia de las Indias de Nueva España,"Mushrooms, coronations, and the feast of revelations",c. 1581; published 1867,1581,1581,Book Excerpt,Text,Spanish,New Spain; Mexico; Tenochtitlan,Mexico City,Imprenta de J. M. Andrade y F. Escalante,"Three passages from Diego Durán's Historia describing raw mountain mushrooms in Mexica royal ceremonial life: a coronation feast, Durán's note that mushrooms rather than wine appear as the chronicle's intoxicant, and Motecuhzoma's feast of revelations.","Three passages from Diego Durán's Historia describing raw mountain mushrooms in Mexica royal ceremonial life: a coronation feast, Durán's note that mushrooms rather than wine appear as the chronicle's intoxicant, and Motecuhzoma's feast of revelations.","Staged in July 2026 from the public-domain Internet Archive scan. Excerpt PDF includes volume 1 pages 319-322, 336-338, and 429-432 from the 1867 edition.","Durán, Diego. Historia de las Indias de Nueva España y islas de Tierra Firme. Published with notes and illustrations by José F. Ramírez. Vol. 1. Mexico City: Imprenta de J. M. Andrade y F. Escalante, 1867, pp. 319-322, 336-338, 429-432.",Public domain. The excerpt PDF was prepared from the Internet Archive scan of the 1867 Mexico City edition.,https://archive.org/details/historiadelasind01dur,https://archive.org/download/historiadelasind01dur/historiadelasind01dur.pdf,hosted,translation_transcript_pdf,documents/bc4b77a3-39fe-52c3-bab1-5933bc5c32ad/pdf-thumbnails/duran-hongos-monteses-teonanacatl/page-001.jpg,documents/bc4b77a3-39fe-52c3-bab1-5933bc5c32ad/pdf-thumbnails/duran-hongos-monteses-teonanacatl/page-001.jpg,False,published,,Spanish,English,translations/duran-hongos-monteses-teonanacatl.md,archive,Archive translation from selected Spanish passages in the public-domain 1867 edition.,translation,,
e9a61758-2d50-5852-99c2-12a544ed29c5,villavicencio-ayahuasca-geografia-ecuador,Ayahuasca in Villavicencio's Geografía de la República del Ecuador,An 1858 Ecuadorian account of ayahuasca visions and divination,1858,1858,1858,Book Excerpt,Text,Spanish,Ecuador; Amazonia; Napo-Pastaza,New York,Imprenta de Robert Craighead,"Manuel Villavicencio's 1858 geography gives an early Spanish account of ayahuasca among Indigenous groups of eastern Ecuador, including divination, warfare, illness diagnosis, visionary effects, and a first-person report of his own experience.","Manuel Villavicencio's 1858 geography gives an early Spanish account of ayahuasca among Indigenous groups of eastern Ecuador, including divination, warfare, illness diagnosis, visionary effects, and a first-person report of his own experience.",Staged in July 2026 from the public-domain Internet Archive/Google Books scan. Excerpt PDF includes pages 371-373 of the 1858 edition.,"Villavicencio, Manuel. Geografía de la República del Ecuador. New York: Imprenta de Robert Craighead, 1858, pp. 371-373.",Public domain. The excerpt PDF was prepared from the Internet Archive/Google Books scan of the 1858 New York edition.,https://archive.org/details/geografiadelare00villgoog,https://archive.org/download/geografiadelare00villgoog/geografiadelare00villgoog_text.pdf,hosted,translation_transcript_pdf,documents/e9a61758-2d50-5852-99c2-12a544ed29c5/pdf-thumbnails/villavicencio-ayahuasca-geografia-ecuador/page-001.jpg,documents/e9a61758-2d50-5852-99c2-12a544ed29c5/pdf-thumbnails/villavicencio-ayahuasca-geografia-ecuador/page-001.jpg,False,published,,Spanish,English,translations/villavicencio-ayahuasca-geografia-ecuador.md,archive,Archive translation from selected Spanish passages in the public-domain 1858 edition.,translation,,
