id,document_id,page_number,label,readable_image_path,thumbnail_image_path,ocr_text,ocr_confidence,transcription_status,language
65af6c10-40ba-5dc0-b99e-f39a1554d776,06f67617-17c0-5c0f-b1b7-47bf662a7fba,1,Page 1,,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-001.jpg,"Government
Documents


          WWW
      mumm",,machine_ocr_from_pdf,English
85e1219f-0de0-5a91-ac15-876e14b752b4,06f67617-17c0-5c0f-b1b7-47bf662a7fba,2,Page 2,,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-002.jpg,"^ostorip


purchased, wiih Siaic U-unds",,machine_ocr_from_pdf,English
98b5b675-5d89-500a-a553-47fc8d10978e,06f67617-17c0-5c0f-b1b7-47bf662a7fba,3,Page 3,,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-003.jpg,"GOVERNMENT DOCUMENTS
                                                                                DEPARTMENT
                                                                           BOSTON PUBLIC UBRARY


                                                               *''
.,.'*.*^'!T'S*t»»>->'*^?S «'.i>t«»ii»»«>'»»**^*»""«*""'i""""^'*'""*


                 BOSTON
                 PUBLIC
                       R

                     > 1 1^ w
                        k-A i i           ■■■^-■■


                        m-^--<^
                               .— j(3-^    *-»ixn   -jijY r;* jr <   »
                                                                         .^■^
     /T.^.'-'i   St M'-'tM.-",,machine_ocr_from_pdf,English
b18dd9b4-1f2e-5824-b52a-3541a51a7780,06f67617-17c0-5c0f-b1b7-47bf662a7fba,4,Page 4,,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-004.jpg,,,machine_ocr_from_pdf,English
9888dfba-0724-5403-9a7c-e25d386d26b2,06f67617-17c0-5c0f-b1b7-47bf662a7fba,5,Page 5,,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-005.jpg,"94th Congress
  2d Session     ]                        SENATE                           I ^. ^Z""""^^-
                                                     GOVERMMENT
                                                                 DOCUMENTS
                                                           DEPARTME NT
                                                       BOSTON PUBU
                                                                   C LIBRARY

             FOREIGN AND MILITARY
                  INTELLIGENCE

                                       BOOK I


                            FINAL          REPORT
                                       OF THE

               SELECT COMMITTEE
      TO STUDY GOVERNMENTAL OPERATIONS
                                WITH     RESPECT     TO

                  INTELLIGENCE                  ACTIVITIES
                 UNITED             STATES             SENATE
                                 TOGETHER       WITH

  ADDITIONAL,              SUPPLEMENTAL,                   AND       SEPARATE
                                VIEWS


                   April 26 (legislative day, April 14 ) , 1976


                     U.S. GOVERNMENT         PRINTING     OFFICE
   -983 O                      WASHINGTON        : 1976


      For sale by the Superintendent of Documents, U.S. Government Printing Office
                            Washington, D.C. 20402 - Price $5.36",,machine_ocr_from_pdf,English
f1857413-dcea-527c-9dd9-ab1e4211016c,06f67617-17c0-5c0f-b1b7-47bf662a7fba,6,Page 6,,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-006.jpg,"SENATE   SELECT COMMITTEE TO STUDY GOVERNMENTAL OPERATIONS
           WITH RESPECT TO INTELLIGENCE ACTIVITIES
                         FRANK CHURCH, Idaho, Chairman
                      JOHN G. TOWER, Texas, Vice Chairman
PHILIP A. HART, Michigan                   HOWARD H. BAKER, Jr., Tennessee
WALTER F. MONDALE, Minnesota               BARRY GOLDWATER, Arizona
WALTER D. HUDDLESTON, Kentucliy CHARLES McC. MATHIAS, Jr., Maryland
ROBERT MORGAN, North Carolina              RICHARD S. SCHWEIKER, Pennsylvania
GARY HART, Colorado
                          William G. Miller, Staff Director
                    Frederick A. O. Schwarz, Jr., Chief Counsel
                    Curtis R. Smothers, Counsel to the Minority
                       Audrey Hatry, Clerk of the Committee
                                      (n)",,machine_ocr_from_pdf,English
36f044a8-7486-5826-806f-98e706b5eb07,06f67617-17c0-5c0f-b1b7-47bf662a7fba,7,Page 7,,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-007.jpg,"LETTER       OF TRANSMITTAL

 (By Senator Frank Church, Chairman of the Senate Select Committee
   to Study Governmental Operations With Eespect to Intelligence
   Activities)

   On January 27, 1975, the Senate established a Select Committee to
conduct an investigation and study of the intelligence activities of the
United States. After 15 months of intensive work, I am pleased to
submit to the Senate this volume of the Final Report of the Com-
            mittee relating to foreign and military intelligence. The inquiry arises
out of allegations of abuse and improper activities by the intelligence
agencies of the United States, and great public concern that the
Congress take action to bring the intelligence agencies under the
constitutional framework.
   The members of the Select Committee have worked diligently and
in remarkable harmony. I want to express my gratitude to the Vice
Chairman, Senator John Tower of Texas, for his cooperation through-
      out and the able assistance he has given me in directing this most
diificult task. While every member of the Committee has made im-
               portant contributions, I especially want to thank Senator Walter D.
Huddleston of Kentucky for the work he has done as Chairman of
the Foreign and Military Subcommittee. His direction of the Sub-
                      committee, working with Senator Charles McC. Mathias of Mary-
         land, Senator Gary Hart of Colorado and Senator Barry Goldw^ater
of Arizona, has been of immeasurable help to me in bringing this
enormous undertaking to a useful and responsible conclusion.
   Finally, I wish to thank the staff for the great service they have
performed for the Committee and for the Senate in assisting the
members of the Committee to carry out the mandate levied by Senate
Resolution 21. The quality, integrity and devotion of the staff has
contributed in a significant way to the important analyses, findings
and recommendations of the Committee.
   The volume which follows, the Report on the Foreign and Military
Intelligence Activities of the United States, is intended to provide to
the Senate the basic information about the intelligence agencies of
the TTnited States required to make the necessary judgments concern-
     ing the role such agencies should play in the future. Despite security
considerations which have limited what can responsibly be printed for
public release the information which is presented in this report is a
reasonably complete picture of the intelligence activities under-
         taken by the United States, and the problems that such activities pose
for constitutional government.
   The Findings and Recommendations contained at the end of this
volume constitute an agenda for action which, if adopted, would go
a long way toward preventing the abuses that have occurred in the
past from occurring again, and would assure that the intelligence
activities of the United States will be conducted in accordance with
constitutional processes.
                                                                   Frank Church.
                                        (ni)",,machine_ocr_from_pdf,English
99067743-91b9-5dfc-bdd1-3a2a03e6df9e,06f67617-17c0-5c0f-b1b7-47bf662a7fba,8,Page 8,,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-008.jpg,"NOTE

  The Committee's Final Keport has been reviewed and declassi-
     fied by the appropriate executive agencies. These agencies submitted
comments to the Committee on security and factual aspects of each
chapter. On the basis of these comments, the Committee and staff
conferred with representatives of the agencies to determine which
parts of the report should remain classified to protect sensitive intel-
              ligence sources and methods.
  At the request of the agencies, the Committee deleted three chapters
from this report : ""Cover,"" ""Espionage,"" and ""Budgetary Oversight.""
In addition, two sections of the chapter ""Covert Action of the CIA""
and one section of the chapter ""Department of State"" have been de-
         leted at the request of the agencies. Particular passages which were
changed at the request of the agencies are denoted by italics and a
footnote. Complete versions of deleted or abridged materials are avail-
       able to Members of the Senate in the Committee's classified report
under the provisions of S. Res. 21 and the Standing Rules of the
Senate.
   Names of individuals were deleted when, in the Committee's judg-
         ment, disclosure of their identities would either endanger their safety
or constitute a substantial invasion of privacy. Consequently, footnote
citations to testimony and documents occasionally contain only descrip-
      tions of an individual's position.
   Appendix Three, ""Soviet Intelligence Collection and Intelligence
Against the United States,"" is derived solely from a classified CIA
report on the same subject which was edited for security considerations
by the Select Committee staff.
                                      (IV)",,machine_ocr_from_pdf,English
e931625a-3f79-595e-ac37-2d193f00bbbd,06f67617-17c0-5c0f-b1b7-47bf662a7fba,9,Page 9,,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-009.jpg,"CONTENTS
                                                                                  Page

I. INTRODUCTION                                                                       1
         A. The Mandate of the Committee's Inquiry                                    2
         B. The Purpose  tions      of the Committee's Findings and Recommenda-       4
         C. The Focusstacles       andEncountered
                                          Scope of the Committee's Inquiry and Ob-    5
         D. The Historical Context of the Inquiry                                     8
         E. The Dilemma of Secrecy and Open Constitutional Govern-
                         ment                                                       11
II. THE FOREIGN                  AND       MILITARY     INTELLIGENCE      OPERA-
              TIONS OF THE UNITED STATES: AN OVERVIEW                               15
         A. The Basic Issues: Secrecy and Democracy                                 16
         B. The Scope of the Select Committee Inquiry into Foreign and
                Military Intelligence Operations                                     17
         C. The Intelligence Process: Theory and Reality                            17
         D. Evolution cf the United States Intelligence Community                   19
         E. The Origins cf the Postwar Intelligence Community                       20
         F. The Response to the Soviet Threat                                       22
         G. Korea: The Turning Point                                                23
         H. The ""Protracted Conflict""                                               24
         I. Third World Competition and Nuclear Crisis                              25
         J. Technology and Tragedy                                                  26
         K. Thel970s                                                                27
         L. TheTaskAhead                                                            28
III. THE    CONSTITUTIONAL                        FRAMEWORK       FOR    INTELLI-
                    GENCE ACTIVITIES                                                31
         A. The Joint Responsibilities of the Legislative and Executive
                Branches — Separation of Powers and Checks and Balances.- 31
         B. The Historical Practice                                                 33
         C. The Constitutional Power of Congress to Regulate the Con-
                        duct of Foreign Intelligence Activity                       38
IV. THE PRESIDENT'S OFFICE                                                          41
         A. The National Security Council                                           42
         B. Authorization and Control of Covert Activities                          48
         C. Providing the Intelligence Required by Policymakers                     61
         D. Advising the President on Intelligence Issues                           62
         E. Allocating Intelligence Resources                                       65
V. THE DIRECTOR                   OF CENTRAL          INTELLIGENCE                  71
         A. The Producer of National Intelligence                                   73
         B. Coordinator of Intelligence Activities                                  83
         C. Director of the CIA                                                     94
VI. HISTORY OF THE CENTRAL INTELLIGENCE                                 AGENCY..    97
         A. The Central Intelligence Group and the Central Intelligence
                Agency: 1946-1952                                                   99
         B. The Dulles Era: 1953-1961                                              109
         C. Change and Routinization: 1961-1970                                    115
         D. The Recent Past: 1971-1975                                             121
         E. Conclusion                                                             124
VII. THE    CENTRAL                 INTELLIGENCE         AGENCY:      STATUTORY
        AUTHORITY                                                                  127
         A. Clandestine Collection of Intelligence                                 128
         B. Covert Action                                                          131
         C. Domestic Activities                                                    135
                                          (V)",,machine_ocr_from_pdf,English
33b54480-a06a-5dec-8db4-5087fe053fdf,06f67617-17c0-5c0f-b1b7-47bf662a7fba,10,Page 10,,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-010.jpg,"VI                                    Page

VIII. COVERT ACTION                                                          141
         A. Evolution of Covert Action                                       143
         B. Congressional Oversight                                          149
         C. Findings and Conclusions                                         152
IX. COUNTERINTELLIGENCE                                                      163
        A. Counterintelligence: An Introduction                              163
        B. Current Issues in Counterintelligence                             171
         C. Conclusions                                                      177
X. THE      DOMESTIC          IMPACT    OF FOREIGN       CLANDESTINE
      OPERATIONS: THE CIA AND ACADEMIC INSTITUTIONS,
      THE MEDIA, AND RELIGIOUS INSTITUTIONS                                  179
         A. Covert Use of Academic and Voluntary Organizations               181
         B. Covert Relationships with the United States Media                191
         C. Covert Use of U.S. Religious Groups                              201
XL PROPRIETARIES                                                             205
         A. Overview                                                         206
         B. Structure                                                        207
         C. Operation of Proprietaries                                       234
         D. The Disposal of Proprietaries                                    236
         E. Financial Aspects                                                247
         F. Some General Considerations                                      251
XII. CIA PRODUCTION OF FINISHED INTELLIGENCE                                 257
          A. Evolution of the CIA's Intelligence Directorate                 259
          B. The Intelligence Directorate Today                              265
          C. The Relationship Between InteUigence and Policy                 266
          D. The Limits of Intelligence                                      268
          E. The Personnel System                                            269
          F. Recruitment and Training of Analysts                            270
          G. The Intelligence Culture and Analytical Bias                    270
         H. The Nature of the Production Process: Consensus Versus
                Competition                                                  271
           I. The ""Current Events"" Syndrome                                  272
          J. Innovation                                                      273
         K. Overload on Analysts and Consumers                               274
          L. Quality Control                                                 276
         M. Consumer Guidance and Evaluation                                 276
          N. The Congressional Role                                          277
XIII. THE CIA's INTERNAL CONTROLS: THE INSPECTOR GEN-
                    ERAL AND THE OFFICE OF GENERAL COUNSEL                   279
         A. The General Counsel                                              280
         B. The Office of the Inspector General                              289
         C. Internal and External Review of the Office of the Inspector
                General                                                      303
XIV. THE DEPARTMENT OF STATE                                                 305
         A. Origins of the State Department Intelligence Function            305
         B. Command and Control                                              308
         C. Support Communications                                           315
         D. Production of Intelligence                                       315
 XV. DEPARTMENT OF DEFENSE                                                   319
          A. Objectives and Organization of the Defense Intelligence Com-
                          munity                                             320
          B. The Defense Intelligence Budget                                 328
          C. Management        Problems  of the Defense Intelligence Com-
                          munity                                              341
          D. Agencies and Activities of Special Interest                      349
          E. Military Counterintelligence and Investigative Agencies          355
          F. Chemical and Biological Activities                               359
          G. Meeting Future Needs in Defense Intelligence                     363",,machine_ocr_from_pdf,English
