id,slug,name,sort_name,birth_year,death_year,bio
ce0e18ae-f3b5-5809-9064-4fb204bc0664,alexander-shulgin,Alexander Shulgin,Alexander Shulgin,1925,2014,"American chemist and psychopharmacologist whose work ranged from industrial chemistry to psychoactive phenethylamines, tryptamines, and ethnobotanical pharmacology."
1ad91181-a4aa-5c61-a470-f2cfb511e460,bernardino-de-sahagun,Bernardino de Sahagún,"Sahagún, Bernardino de",1499,1590,"Franciscan friar, missionary, linguist, and compiler of the Florentine Codex, produced with Nahua collaborators in sixteenth-century New Spain."
b1e43ba6-ac03-58d0-9249-5bca9ee24edd,claudio-naranjo,Claudio Naranjo,Claudio Naranjo,1932,2019,"Chilean psychiatrist, psychotherapist, and writer whose early work joined medical anthropology, psychedelic research, and experimental psychotherapy."
a7009571-f8b0-5756-81e0-e01db19ba3e3,garcia-de-orta,Garcia de Orta,Garcia de Orta,1501,1568,Portuguese physician and naturalist in Goa whose 1563 Colloquies recorded South Asian materia medica through direct observation and dialogue.
1b14188d-572a-5e07-8489-535cd2ffaaa2,gerardo-reichel-dolmatoff,Gerardo Reichel-Dolmatoff,Gerardo Reichel-Dolmatoff,1912,1994,"Austrian-born Colombian anthropologist and archaeologist known for fieldwork among Indigenous peoples in Colombia, including influential writing on Tukano cosmology and yaje."
0bb43c14-2a61-5b06-8b19-698ea1e0d9e5,j-g-soares-maia,J. G. Soares Maia,J. G. Soares Maia,,,"Brazilian natural-products chemist associated with INPA and Amazonian phytochemistry, including chemical study of Virola theiodora."
713d942c-df46-5ba7-b38c-e08e2a293d6c,william-antonio-rodrigues,William Antônio Rodrigues,William Antônio Rodrigues,1928,,"Brazilian botanist associated with INPA, known for taxonomic work on Amazonian plants including Virola."
3e077676-4988-52b8-8b56-b8ed9c982d96,pedro-ponce-de-leon,Pedro Ponce de León,"Ponce de León, Pedro",1546,1628,"Spanish secular priest in New Spain whose brief anti-idolatry treatise recorded Indigenous ritual practices, divination, and uses of ololiuhqui and peyote."
ea91920b-374f-5324-b113-ae06c56b9843,hernando-ruiz-de-alarcon,Hernando Ruiz de Alarcón,"Ruiz de Alarcón, Hernando",,,"Seventeenth-century Mexican ecclesiastical judge and priest whose 1629 treatise on Indigenous ritual practice includes extended passages on ololiuhqui, peyote, healing, and divination."
f0057e03-8bbe-5150-aa6e-afc3279e007b,jacinto-de-la-serna,Jacinto de la Serna,"Serna, Jacinto de la",,,"Seventeenth-century Mexican priest and author of the Manual de ministros de indios, a guide for clergy that catalogued Indigenous rites, healing practices, and colonial anti-idolatry concerns."
b97f64d0-ca9f-5e6a-8e0d-3390b8f4abc4,nicolas-leon,Nicolás León,"León, Nicolás",1859,1929,"Mexican physician, historian, bibliographer, and editor associated with the Museo Nacional, where he published colonial anti-idolatry texts in the 1890s."
91d63543-6329-57df-a9a7-57d10c658e08,richard-spruce,Richard Spruce,"Spruce, Richard",1817,1893,"English botanist whose Amazon and Andes fieldwork produced foundational nineteenth-century descriptions of caapi, niopo, and other Indigenous psychoactive plant preparations."
f35995fc-4f41-5fd2-af7f-313cb3c10290,alfred-russel-wallace,Alfred Russel Wallace,"Wallace, Alfred Russel",1823,1913,English naturalist and editor of Richard Spruce's Notes of a Botanist on the Amazon and Andes.
e5075690-d521-55ba-b79c-f7a4557885b3,diego-duran,Diego Durán,"Durán, Diego",1537,1588,"Dominican friar and historian of New Spain whose Historia de las Indias de Nueva España preserved Nahua historical traditions, ritual descriptions, and colonial interpretations of Mexica ceremonial life."
537af2d3-556c-5831-85c9-b3b137d8b493,jose-fernando-ramirez,José F. Ramírez,"Ramírez, José F.",1804,1871,"Mexican historian, bibliographer, and editor who prepared the 1867 publication of Diego Durán's Historia with notes and illustrations."
0c0a940e-f0c3-556f-a506-71f0f4993650,manuel-villavicencio,Manuel Villavicencio,"Villavicencio, Manuel",,,Ecuadorian physician and geographer whose 1858 Geografía de la República del Ecuador includes a notable Spanish account of ayahuasca use in eastern Ecuador and a first-person description of its effects.
bf1d44d4-f040-5255-b691-75ce4365b9e7,alexander-von-humboldt,Alexander von Humboldt,"Humboldt, Alexander von",1769,1859,"Prussian naturalist, geographer, and explorer whose American travel writings shaped nineteenth-century science and included early descriptions of Orinoco niopo."
f9831bae-51cc-5f29-a139-7dfa30bafd6d,aime-bonpland,Aimé Bonpland,"Bonpland, Aimé",1773,1858,French botanist and explorer who traveled with Alexander von Humboldt in Spanish America and co-authored the Personal Narrative.
45d75997-8d9f-52b8-a4ec-a348af1904a0,helen-maria-williams,Helen Maria Williams,"Williams, Helen Maria",1761,1827,"English writer, translator, and political commentator who translated Humboldt and Bonpland's Personal Narrative into English."
95f91a1c-0877-52af-afb7-3cd28936325a,johann-baptist-von-spix,Johann Baptist von Spix,"Spix, Johann Baptist von",1781,1826,Bavarian zoologist and explorer who traveled in Brazil from 1817 to 1820 and co-authored Reise in Brasilien.
8f7bdad7-cab6-57fa-8427-1a73294fc05a,carl-friedrich-philipp-von-martius,Carl Friedrich Philipp von Martius,"Martius, Carl Friedrich Philipp von",1794,1868,Bavarian botanist and explorer whose Brazilian fieldwork and publications became central to nineteenth-century Amazonian natural history.
37fbe4bd-8ae2-51d4-8344-7b9c909f8f19,georg-heinrich-von-langsdorff,Georg Heinrich von Langsdorff,"Langsdorff, Georg Heinrich von",1774,1852,"German-Russian naturalist and explorer whose voyage writings included observations from Kamchatka, Russian America, and Brazil."
70fc8d2c-e0ef-50b6-b176-0e36f85a721e,ralph-t-h-griffith,Ralph T. H. Griffith,"Griffith, Ralph T. H.",1826,1906,"British Indologist, educator, and translator whose late nineteenth-century English renderings of the Vedas made Sanskrit texts widely available to Anglophone readers."
e58f2c37-a6c6-5f64-bc7a-5fc864dd2ffe,jacques-joseph-moreau,Jacques-Joseph Moreau,"Moreau, Jacques-Joseph",1804,1884,"French psychiatrist, often called Moreau de Tours, whose 1845 Du hachisch et de l'aliénation mentale made hashish central to a clinical theory of drug-induced delirium and mental illness."
2fe95d12-0fb5-5070-89dd-b5270b0d152c,ernst-von-bibra,Ernst von Bibra,"Bibra, Ernst von",1806,1878,"German naturalist and chemist whose Die narkotischen Genussmittel und der Mensch surveyed intoxicants comparatively through botany, chemistry, travel accounts, and self-experiment."
513f7438-a83a-5596-807b-be36a4566f90,edward-m-kennedy,Edward M. Kennedy,"Kennedy, Edward M.",1932,2009,U.S. senator from Massachusetts whose health subcommittee helped investigate CIA drug testing and human-subjects research in the 1970s.
0979e2c5-b7d0-5c1d-a8cd-d43606e40062,daniel-k-inouye,Daniel K. Inouye,"Inouye, Daniel K.",1924,2012,U.S. senator from Hawaii and chair of the Senate Select Committee on Intelligence during the 1977 MKULTRA hearing.
8ea65452-8cc0-5ccf-a633-6bf7f8b6e585,frank-church,Frank Church,"Church, Frank",1924,1984,"U.S. senator from Idaho who chaired the Senate Select Committee to Study Governmental Operations with Respect to Intelligence Activities, commonly known as the Church Committee."
c145ef8c-3f16-5a4a-841a-2846f6167ba1,nelson-a-rockefeller,Nelson A. Rockefeller,"Rockefeller, Nelson A.",1908,1979,Vice president of the United States and chair of the 1975 Commission on CIA Activities within the United States.
