id,slug,name,description,tag_type
ebf523b3-0542-5ca7-ae9a-5a9167fb4710,1950-1970,1950-1970,,era
85775a4c-9075-5ad1-9e01-db31667bfc6a,1970-2000,1970-2000,,era
a85c8695-8500-5428-afdf-feaae8f01b1d,5-meo-dmt,5-MeO-DMT,,topic
5cd303e8-1e90-50e3-8fd0-0ab71f1ea387,academic-article,Academic article,,genre
56d8407e-b5ec-5a27-ace8-8504649a7b01,amazonia,Amazonia,,topic
e23bdaab-c3de-5e44-adc1-011e6f2212e6,arrow-poison,Arrow poison,,topic
ffc687e3-50af-5cdd-93cc-00bd6ea553e6,ayahuasca,Ayahuasca,,topic
8017c607-ef2e-59f7-9387-69c5d989e3a6,bangue,Bangue,,topic
e5431e1d-b1c3-567b-814a-73fd40830abe,banisteriopsis-caapi,Banisteriopsis caapi,,topic
bbaffae3-7903-5433-82d9-bafbd24fadb9,bhang,Bhang,,topic
4f0322e9-fad0-5781-b010-d9c7dbf2448a,book-excerpt,Book excerpt,,genre
c68fb2a9-456c-5342-8cd8-06816d64e6e2,brazil,Brazil,,topic
260337a9-5101-554c-b356-ea16440e7915,caapi,Caapi,,topic
9c19e28e-055b-5f59-b2ec-7e8e6f59236e,cannabis,Cannabis,,topic
b7c983a4-1584-5792-8e73-fd443d632e0b,chile,Chile,,topic
28e39c26-01e3-5535-b960-93b9399118dd,colombia,Colombia,,topic
8cda3b9d-2a2c-5295-8c26-562d7f906c53,conference-paper,Conference paper,,genre
c4108fff-85a1-5918-9146-9bff87fac7df,dmt,DMT,,topic
f6a4122f-3bcd-5014-b71c-4bf51dde5b02,early-modern-medicine,Early modern medicine,,topic
0c0d77fe-42ec-51ac-aca4-c01619acaef6,epena,Epená,,topic
21a1954e-84fc-5ea1-b016-26c7549da752,ethnobotany,Ethnobotany,,topic
cf871d42-cfef-5f07-8ca0-a97eab475b74,ethnography,Ethnography,,topic
1de25bbd-d9f6-5ba8-b545-34f71c7eabb1,ethnopharmacology,Ethnopharmacology,,topic
ed48d557-9002-599f-9aca-797c385fe009,goa,Goa,,topic
a1a411fe-5f11-54da-bfc8-f988ab0d78c6,harmala-alkaloids,Harmala alkaloids,,topic
c4344995-4e86-5143-af45-62c43c4357b1,harmaline,Harmaline,,topic
c3106b82-f8ec-5618-81c4-a72278d569f6,harmine,Harmine,,substance
fbe38f2c-8902-500f-bcb3-739e16bd16f5,human-experiments,Human experiments,,topic
8b0f1b2d-94b2-5aaf-9faf-1918dfac03aa,india,India,,topic
c4d76809-f927-5537-a205-874b6ad1fc0b,indian-ocean,Indian Ocean,,region
21761841-24f8-5bf0-bd8e-a3e5d76aeb93,indigenous-knowledge,Indigenous knowledge,,topic
8ca8e43b-dc28-593c-9945-22f599bcba1f,kava,Kava,,topic
89047ecd-b8fe-59ca-b43b-1d0dce278700,kavalactones,Kavalactones,,topic
34b1ce28-8f9b-5118-a2ff-6c0ccfae4f29,latin-america,Latin America,,region
1e0a30cf-7157-5672-bf32-aed25419b3ad,materia-medica,Materia medica,,topic
7bce32ff-5ee9-5d4a-ba42-2c4fa07ad4e6,melanesia,Melanesia,,topic
753e2b23-dd35-52d9-b747-a4e253a891c4,mescaline,Mescaline,,substance
44c6a08e-b4e6-5994-8c0b-3c5ba1522fdb,micronesia,Micronesia,,topic
8e784baa-a648-5b89-bdcc-5ace6edfe8a6,oceania,Oceania,,region
a818fa2a-6cdd-5b2a-b39e-37dada422411,opium,Opium,,substance
fdb67866-fca7-5ec2-bf66-365f883d16f0,pharmacology,Pharmacology,,topic
775d8e6d-3b8c-5568-9cea-3972c0ab4290,phytochemistry,Phytochemistry,,topic
744824b6-f6c8-55e4-b110-403828a77c11,piper-methysticum,Piper methysticum,,topic
a6042e18-b5a5-5abc-be83-1c7e02fa2608,polynesia,Polynesia,,topic
81ddedb7-079e-557d-b7de-ca7a3dc24fac,portuguese-empire,Portuguese Empire,,topic
e30c6af8-7739-52de-95c0-c5857e2d8d33,pre-1800,Pre-1800,,era
0bd72ccf-ed98-53c6-9d95-eb0cf421bb8b,roraima,Roraima,,topic
1ada7008-34a2-5ad8-a51d-d8c31bf9d753,south-america,South America,,topic
f539934c-0763-514b-a618-c77e5ee567df,tukano,Tukano,,topic
51caadb8-6949-5591-ad6d-559e7371327b,vaupes,Vaupés,,topic
a1e19e70-3184-5f58-9883-77d8d0074a60,virola,Virola,,topic
74d6fdd6-613b-5c50-9895-1568fd26f45d,virola-theiodora,Virola theiodora,,topic
f155b06a-c48b-5fa1-83eb-4876ab575f59,yaje,Yajé,,topic
841a5138-276d-5699-914c-aa3f101c757e,yomane,Yomanê,,topic
