id,slug,title,subtitle,display_date,date_start,date_end,document_type,medium,language,region,publication_place,publisher,summary,abstract,editorial_note,citation,rights_statement,source_url,external_access_url,access_type,hosting_status,cover_image_path,thumbnail_path,is_featured,status,published_at
f11b2730-ecc7-5ba6-b5d8-343a3b1ce8b6,researches-chemical-and-philosophical-chiefly-concerning-nitrous-oxide,"Researches, Chemical and Philosophical; Chiefly Concerning Nitrous Oxide",,1800,1800,1800,Academic Article,Text,English,,,,"Foundational first-person and observer reports of nitrous oxide intoxication, euphoria, analgesia, and metaphysical-seeming insight.","Foundational first-person and observer reports of nitrous oxide intoxication, euphoria, analgesia, and metaphysical-seeming insight.",Imported from local nitrous oxide/ether corpus manifest; metadata needs review before publication.,"Humphry Davy. Researches, Chemical and Philosophical; Chiefly Concerning Nitrous Oxide. 1800.",Public domain in the United States; Project Gutenberg text.,https://www.gutenberg.org/ebooks/66955.txt.utf-8,https://www.gutenberg.org/ebooks/66955.txt.utf-8,hosted,transcript_only,documents/f11b2730-ecc7-5ba6-b5d8-343a3b1ce8b6/images/researches-chemical-and-philosophical-chiefly-concerning-nitrous-oxide/01-humphry-davy.jpg,documents/f11b2730-ecc7-5ba6-b5d8-343a3b1ce8b6/images/researches-chemical-and-philosophical-chiefly-concerning-nitrous-oxide/01-humphry-davy.jpg,True,published,
d96b9be3-01fa-5400-a92e-9c99722a5ae2,the-anaesthetic-revelation-and-the-gist-of-philosophy,The Anaesthetic Revelation and the Gist of Philosophy,,1874,1874,1874,Book,Text,English,,,,The text that gave James the phrase and problem: anesthesia as an incommunicable metaphysical revelation.,The text that gave James the phrase and problem: anesthesia as an incommunicable metaphysical revelation.,Imported from local nitrous oxide/ether corpus manifest; metadata needs review before publication.,Benjamin Paul Blood. The Anaesthetic Revelation and the Gist of Philosophy. 1874.,Public domain scan/OCR via Internet Archive.,https://archive.org/download/anstheticrevela00bloogoog/anstheticrevela00bloogoog_djvu.txt,https://archive.org/download/anstheticrevela00bloogoog/anstheticrevela00bloogoog_djvu.txt,hosted,transcript_only,documents/d96b9be3-01fa-5400-a92e-9c99722a5ae2/images/the-anaesthetic-revelation-and-the-gist-of-philosophy/01-anaesthetic-revelation.jpg,documents/d96b9be3-01fa-5400-a92e-9c99722a5ae2/images/the-anaesthetic-revelation-and-the-gist-of-philosophy/01-anaesthetic-revelation.jpg,True,published,
0541a905-f47f-5812-9cb2-e1b2f9855a63,subjective-effects-of-nitrous-oxide,Subjective Effects of Nitrous Oxide,,1882,1882,1882,Academic Article,Text,English,,,,James's direct report of nitrous oxide intoxication and the classic 'metaphysical illumination' formulation.,James's direct report of nitrous oxide intoxication and the classic 'metaphysical illumination' formulation.,Imported from local nitrous oxide/ether corpus manifest; metadata needs review before publication.,William James. Subjective Effects of Nitrous Oxide. 1882.,Pre-1930 public-domain text; web transcription.,https://www.cs.cmu.edu/~ehn/release/nitrous.html,https://www.cs.cmu.edu/~ehn/release/nitrous.html,hosted,transcript_only,documents/0541a905-f47f-5812-9cb2-e1b2f9855a63/images/subjective-effects-of-nitrous-oxide/01-william-james-self-portrait.jpg,documents/0541a905-f47f-5812-9cb2-e1b2f9855a63/images/subjective-effects-of-nitrous-oxide/01-william-james-self-portrait.jpg,True,published,
258c6303-3d34-577d-996c-736b5bfd9aff,review-of-the-anaesthetic-revelation-and-the-gist-of-philosophy,Review of The Anaesthetic Revelation and the Gist of Philosophy,,1874,1874,1874,Essay,Text,English,,,,"James's first published encounter with Blood's anesthetic mysticism, before James's own nitrous experiments.","James's first published encounter with Blood's anesthetic mysticism, before James's own nitrous experiments.",Imported from local nitrous oxide/ether corpus manifest; metadata needs review before publication.,William James. Review of The Anaesthetic Revelation and the Gist of Philosophy. 1874.,Original Atlantic Monthly text is public domain; web transcription.,https://selfdefinition.org/psychology/articles/james-review-anaesthetic-revelation-gist-of-philosophy.htm,https://selfdefinition.org/psychology/articles/james-review-anaesthetic-revelation-gist-of-philosophy.htm,hosted,transcript_only,documents/258c6303-3d34-577d-996c-736b5bfd9aff/images/review-of-the-anaesthetic-revelation-and-the-gist-of-philosophy/01-william-james-young.jpg,documents/258c6303-3d34-577d-996c-736b5bfd9aff/images/review-of-the-anaesthetic-revelation-and-the-gist-of-philosophy/01-william-james-young.jpg,False,published,
caada67a-1069-5269-9985-1436c91938fd,the-will-to-believe-and-other-essays-in-popular-philosophy,The Will to Believe and Other Essays in Popular Philosophy,,1897,1897,1897,Book,Text,English,,,,"Contains 'On Some Hegelisms,' where James appends a major note on nitrous oxide, horror, and reconciliation of opposites.","Contains 'On Some Hegelisms,' where James appends a major note on nitrous oxide, horror, and reconciliation of opposites.",Imported from local nitrous oxide/ether corpus manifest; metadata needs review before publication.,William James. The Will to Believe and Other Essays in Popular Philosophy. 1897.,Public domain in the United States; Project Gutenberg text.,https://www.gutenberg.org/ebooks/26659.txt.utf-8,https://www.gutenberg.org/ebooks/26659.txt.utf-8,hosted,transcript_only,documents/caada67a-1069-5269-9985-1436c91938fd/images/the-will-to-believe-and-other-essays-in-popular-philosophy/01-william-james-self-portrait.jpg,documents/caada67a-1069-5269-9985-1436c91938fd/images/the-will-to-believe-and-other-essays-in-popular-philosophy/01-william-james-self-portrait.jpg,False,published,
a22389f7-1ddb-5959-a02b-a53556779ff1,the-varieties-of-religious-experience,The Varieties of Religious Experience,,1902,1902,1902,Book,Text,English,,,,Lectures XVI-XVII define mystical consciousness and explicitly use nitrous oxide and anesthetics as evidence for alternate forms of consciousness.,Lectures XVI-XVII define mystical consciousness and explicitly use nitrous oxide and anesthetics as evidence for alternate forms of consciousness.,Imported from local nitrous oxide/ether corpus manifest; metadata needs review before publication.,William James. The Varieties of Religious Experience. 1902.,Public domain in the United States; Project Gutenberg text.,https://www.gutenberg.org/ebooks/621.txt.utf-8,https://www.gutenberg.org/ebooks/621.txt.utf-8,hosted,transcript_only,documents/a22389f7-1ddb-5959-a02b-a53556779ff1/images/the-varieties-of-religious-experience/01-william-james-young.jpg,documents/a22389f7-1ddb-5959-a02b-a53556779ff1/images/the-varieties-of-religious-experience/01-william-james-young.jpg,False,published,
19f93d91-be36-583b-83c1-e511fff95f41,a-pluralistic-universe,A Pluralistic Universe,,1909,1909,1909,Book,Text,English,,,,"James's mature pluralism, downstream of the nitrous oxide/Blood problem and useful for modeling the philosophical uptake.","James's mature pluralism, downstream of the nitrous oxide/Blood problem and useful for modeling the philosophical uptake.",Imported from local nitrous oxide/ether corpus manifest; metadata needs review before publication.,William James. A Pluralistic Universe. 1909.,Public domain in the United States; Project Gutenberg text.,https://www.gutenberg.org/ebooks/11984.txt.utf-8,https://www.gutenberg.org/ebooks/11984.txt.utf-8,hosted,transcript_only,documents/19f93d91-be36-583b-83c1-e511fff95f41/images/a-pluralistic-universe/01-william-james-self-portrait.jpg,documents/19f93d91-be36-583b-83c1-e511fff95f41/images/a-pluralistic-universe/01-william-james-self-portrait.jpg,False,published,
73917888-e7a6-5511-a813-d101cce32096,a-pluralistic-mystic,A Pluralistic Mystic,,1910,1910,1910,Essay,Text,English,,,,"James's late appraisal of Benjamin Paul Blood, completing the arc from anesthetic revelation to pluralistic mysticism.","James's late appraisal of Benjamin Paul Blood, completing the arc from anesthetic revelation to pluralistic mysticism.",Imported from local nitrous oxide/ether corpus manifest; metadata needs review before publication.,William James. A Pluralistic Mystic. 1910.,Original Hibbert Journal text is public domain; web transcription.,https://www.readbookonline.org/readOnLine/37982/,https://www.readbookonline.org/readOnLine/37982/,hosted,transcript_only,documents/73917888-e7a6-5511-a813-d101cce32096/images/a-pluralistic-mystic/01-william-james-young.jpg,documents/73917888-e7a6-5511-a813-d101cce32096/images/a-pluralistic-mystic/01-william-james-young.jpg,False,published,
358dcaf0-53d9-5406-b4c8-1e06bb01b2f3,pluriverse-an-essay-in-the-philosophy-of-pluralism,Pluriverse: An Essay in the Philosophy of Pluralism,,1920,1920,1920,Book,Text,English,,,,"Blood's late full exposition, with retrospective claims about the 1860 anesthetic insight and its philosophical consequences.","Blood's late full exposition, with retrospective claims about the 1860 anesthetic insight and its philosophical consequences.",Imported from local nitrous oxide/ether corpus manifest; metadata needs review before publication.,Benjamin Paul Blood. Pluriverse: An Essay in the Philosophy of Pluralism. 1920.,Public domain scan/OCR via Internet Archive.,https://archive.org/download/cu31924029019003/cu31924029019003_djvu.txt,https://archive.org/download/cu31924029019003/cu31924029019003_djvu.txt,hosted,transcript_only,documents/358dcaf0-53d9-5406-b4c8-1e06bb01b2f3/images/pluriverse-an-essay-in-the-philosophy-of-pluralism/01-anaesthetic-revelation.jpg,documents/358dcaf0-53d9-5406-b4c8-1e06bb01b2f3/images/pluriverse-an-essay-in-the-philosophy-of-pluralism/01-anaesthetic-revelation.jpg,False,published,
1c23d1c7-c0c0-533b-bffb-8e4852a16f10,anaesthetics-antient-and-modern-an-historical-sketch-of-anaesthesia,Anaesthetics Antient and Modern: An Historical Sketch of Anaesthesia,,1910,1910,1910,Book,Text,English,,,,"Compact historical frame for nitrous oxide, ether, chloroform, public demonstrations, and medical normalization before 1930.","Compact historical frame for nitrous oxide, ether, chloroform, public demonstrations, and medical normalization before 1930.",Imported from local nitrous oxide/ether corpus manifest; metadata needs review before publication.,Burroughs Wellcome & Co.. Anaesthetics Antient and Modern: An Historical Sketch of Anaesthesia. 1910.,Public domain in the United States; Project Gutenberg text.,https://www.gutenberg.org/ebooks/75020.txt.utf-8,https://www.gutenberg.org/ebooks/75020.txt.utf-8,hosted,transcript_only,documents/1c23d1c7-c0c0-533b-bffb-8e4852a16f10/images/anaesthetics-antient-and-modern-an-historical-sketch-of-anaesthesia/01-anaesthetic-revelation.jpg,documents/1c23d1c7-c0c0-533b-bffb-8e4852a16f10/images/anaesthetics-antient-and-modern-an-historical-sketch-of-anaesthesia/01-anaesthetic-revelation.jpg,False,published,
