document_id,person_id,role
2e05bf1b-3ea1-5d99-bbfb-2b610809ad4c,025f9b81-59a7-54d2-b8e5-37aacc5b678e,author
86781c87-9be9-50b5-aca9-99ce25e464b9,1c600413-be36-5af0-ae64-8e3748d75751,author
7da50bb7-30d3-5c0d-9e70-4d7b516e0266,7358eb77-4223-5619-b6a5-ffdd07d5db98,author
8476ce01-41ea-54f8-8c40-2a0ba194f8a4,3ac930a4-c602-5b6d-8b02-f633193320de,author
0435259b-5ae7-514a-857f-fa8dcf61750e,92a57d02-f637-5b18-a315-309b2a4a63bb,author
ff7463f4-b0da-5472-be20-bbe295f1954e,7bad5c8d-02a9-57a9-bce6-8915cfbb5077,author
12f1e602-bc11-5861-9424-61766b55fc2d,e3644d8f-ee5a-5c64-85ab-1730f9592018,author
cd7298eb-bfb7-5421-ae16-f27d2ee07fc7,36f6743e-1309-577c-ba7b-1595d641ea68,author
7843f7c0-1785-57ea-ac90-1f1ba8f00b1d,7bad5c8d-02a9-57a9-bce6-8915cfbb5077,author
9b1c99a3-dc29-5738-b846-2ac0d23c42e5,037d2f3d-6804-5d08-b6a1-99b2b05af16c,author
403a35d7-213f-5012-9152-5fdb41d134db,65b61c3e-3967-53bf-a9f6-3a18d8cb12cb,author
b640a685-b74d-5119-8255-06dd18298687,7358eb77-4223-5619-b6a5-ffdd07d5db98,author
3e425691-e199-5a07-8199-71466a4cda19,7358eb77-4223-5619-b6a5-ffdd07d5db98,author
1d705cf3-dbb4-5692-a87f-af62cb2dee06,7358eb77-4223-5619-b6a5-ffdd07d5db98,author
6357f4ca-62ad-5cfc-a4de-eb66b357ea01,7358eb77-4223-5619-b6a5-ffdd07d5db98,author
61c2013e-cbfc-5dba-9b71-b077742623a4,20a31dd9-52b8-5150-9f77-348c57393b12,author
