id,document_id,page_id,kind,storage_path,mime_type,byte_size,width,height,checksum
0780002d-7554-5671-8287-514ba7dc5fd9,6357f4ca-62ad-5cfc-a4de-eb66b357ea01,,cover_image,documents/6357f4ca-62ad-5cfc-a4de-eb66b357ea01/images/1955-experimental-compound-mer-17-frenquel-and-lsd-25/01-ronnie01.jpg,image/jpeg,168006,1998,1466,d9925c093df669a5e80450e4bcff3516c23c2ad42550cc3883ce49eae29900a3
39939253-1401-56de-a4a4-47597ff917ef,6357f4ca-62ad-5cfc-a4de-eb66b357ea01,,supplementary_file,documents/6357f4ca-62ad-5cfc-a4de-eb66b357ea01/images/1955-experimental-compound-mer-17-frenquel-and-lsd-25/02-new-blocking-agent.jpg,image/jpeg,92784,1962,1016,a1388c9b7aa47716f83126cdac586923bfe3da8f2d7ff3c73b41aec9fd87ac6a
c7c08646-f83e-5bd2-90d5-d0053af5a448,6357f4ca-62ad-5cfc-a4de-eb66b357ea01,,supplementary_file,documents/6357f4ca-62ad-5cfc-a4de-eb66b357ea01/images/1955-experimental-compound-mer-17-frenquel-and-lsd-25/03-ronnie2.jpg,image/jpeg,204232,1988,1398,120488f7f60d9cab9b5304d7d80c793c7e734ae2dfb290548c4fb9dc3c6ec704
5adbd653-236b-5533-bbc1-bc4712f16737,6357f4ca-62ad-5cfc-a4de-eb66b357ea01,,supplementary_file,documents/6357f4ca-62ad-5cfc-a4de-eb66b357ea01/images/1955-experimental-compound-mer-17-frenquel-and-lsd-25/04-ronnie1.jpg,image/jpeg,164517,1990,1258,1167f26ae4591e36ce4b761f9208896bc05fc3174ad5db72e3e87a0bd8cde124
f5e1e074-13a9-57fe-a0d5-e46ded1a6756,6357f4ca-62ad-5cfc-a4de-eb66b357ea01,,supplementary_file,documents/6357f4ca-62ad-5cfc-a4de-eb66b357ea01/images/1955-experimental-compound-mer-17-frenquel-and-lsd-25/05-fabing1.jpg,image/jpeg,136869,1998,1228,9058f4c7d6638ec6c8002657577d9cfc5b0b6283b8d1e741dfc17ae7805a9842
a2ce4d20-74bf-5899-853c-1ac8d4029983,1d705cf3-dbb4-5692-a87f-af62cb2dee06,,cover_image,documents/1d705cf3-dbb4-5692-a87f-af62cb2dee06/images/1965-allen-ginsberg-talks-to-joe-k-adams-about-his-first-lsd-trip/01-Redwood-Lodge-Joe-ADams.jpeg,image/jpeg,239439,1100,710,04a541348bb315ee4155c2990a3d628521a31e70ad9e17f746c210884a7d6f23
7e0ba2ba-73ec-5847-b9fb-6af2551e1b1a,cd7298eb-bfb7-5421-ae16-f27d2ee07fc7,,cover_image,documents/cd7298eb-bfb7-5421-ae16-f27d2ee07fc7/images/mead-lsd-memo/01-mead-lsd-memo.jpg,image/jpeg,289003,1912,1072,5c7d94016022b8ae01a6dba169a0eb593c23003083f7ffbab52de0076c935895
f648fdce-d7bc-5335-9866-5f04f1c8b178,cd7298eb-bfb7-5421-ae16-f27d2ee07fc7,,supplementary_file,documents/cd7298eb-bfb7-5421-ae16-f27d2ee07fc7/images/mead-lsd-memo/02-mead-image-3.jpg,image/jpeg,562493,1540,1594,3f12ad5c638280b890dfb8447116982a042a2074c86683cda411b2f33dc223e8
c5620eab-28f4-5c00-b1f6-165c78f9b6d8,cd7298eb-bfb7-5421-ae16-f27d2ee07fc7,,supplementary_file,documents/cd7298eb-bfb7-5421-ae16-f27d2ee07fc7/images/mead-lsd-memo/03-mead-image-1-.jpg,image/jpeg,739173,1674,2008,ec7f5a7a26de4ea56020ec0e5bf92a21156c59357618c01b3493aba5609ecf8e
0decbfea-a36f-5746-a217-7a542894b82f,cd7298eb-bfb7-5421-ae16-f27d2ee07fc7,,supplementary_file,documents/cd7298eb-bfb7-5421-ae16-f27d2ee07fc7/images/mead-lsd-memo/04-mead-image-2.jpg,image/jpeg,571167,1470,1680,59f329b1779fb6111f9ae226558737aa5132001d974a6a3ae20ea46466485675
