id,slug,name,sort_name,birth_year,death_year,bio
7358eb77-4223-5619-b6a5-ffdd07d5db98,bebreen-ucsc-edu,bebreen@ucsc.edu,bebreen@ucsc.edu,,,
037d2f3d-6804-5d08-b6a1-99b2b05af16c,edward-wheeler-scripture-1864-1945,Edward Wheeler Scripture (1864 – 1945),Edward Wheeler Scripture (1864 – 1945),,,
e3644d8f-ee5a-5c64-85ab-1730f9592018,fitz-hugh-ludlow-1836-1870,Fitz Hugh Ludlow (1836-1870),Fitz Hugh Ludlow (1836-1870),,,
025f9b81-59a7-54d2-b8e5-37aacc5b678e,franz-xaver-veigl-1723-1798,Franz Xaver Veigl (1723-1798),Franz Xaver Veigl (1723-1798),,,
20a31dd9-52b8-5150-9f77-348c57393b12,george-draper,George Draper,George Draper,,,
1c600413-be36-5af0-ae64-8e3748d75751,john-c-lilly,John C. Lilly,John C. Lilly,,,
92a57d02-f637-5b18-a315-309b2a4a63bb,luisa-de-lvarez-de-toledo-with-case-studies-contributed-by-alberto-e-fontana-and-francisco-perez-morales,Luisa de Álvarez de Toledo (with case studies contributed by Alberto E. Fontana and Francisco Perez Morales),Luisa de Álvarez de Toledo (with case studies contributed by Alberto E. Fontana and Francisco Perez Morales),,,
36f6743e-1309-577c-ba7b-1595d641ea68,margaret-mead,Margaret Mead,Margaret Mead,,,
7bad5c8d-02a9-57a9-bce6-8915cfbb5077,sidney-cohen,Sidney Cohen,Sidney Cohen,,,
3ac930a4-c602-5b6d-8b02-f633193320de,timothy-leary-1920-1996,Timothy Leary (1920-1996),Timothy Leary (1920-1996),,,
65b61c3e-3967-53bf-a9f6-3a18d8cb12cb,william-james-1842-1910,William James (1842-1910),William James (1842-1910),,,
