id,slug,name,description,tag_type
df55c58a-b8f9-542a-9df9-80b10aafdca9,1700s,1700s,,genre
137ed54a-0077-58eb-a9ad-aa64574b1a38,1750s,1750s,,topic
8e042eac-862f-5d2b-9e77-72921223206b,1800s,1800s,,genre
33a8ee73-77e1-54b1-974b-9eccd94aa3a4,1870,1870,,topic
2bec8fa9-980c-5028-a8a5-c297f93ae5f6,1882,1882,,topic
23303307-6a8b-51ad-86b8-ae959289ffb6,1893,1893,,topic
3162a3f5-0dfd-5dff-847c-365dd0a6da02,1940s,1940s,,genre
1679aced-1148-59b7-bd29-336ef2e9183f,1946,1946,,topic
63288915-ecd5-5b55-ab30-41e68697b65d,1950s,1950s,,genre
76135ee5-301c-532c-b8ab-de51a7d309bf,1954,1954,,topic
5ce84b1d-6b04-555c-ba8e-5217cdd75277,1955,1955,,topic
b41909be-8a18-5be8-bd08-5851bd051adc,1957,1957,,topic
23bf3c60-2228-5231-a11b-1af165d7c68c,1960s,1960s,,genre
62ca70ff-e5b5-50e1-93a6-cde6ce566192,1962,1962,,topic
7fbbc082-75f4-529b-8a0f-fa63816802d6,1963,1963,,topic
49db24bb-72a9-5613-bdfc-db78b3ccd98e,1965,1965,,topic
88ce49ae-33d0-5585-8e57-f34ab67f942b,1966,1966,,topic
7d529b15-428e-5172-8d63-88b0ca5dcee2,1969,1969,,topic
d9097d68-815a-54c4-adf7-db853a629110,academic-articles,Academic articles,,genre
56d8407e-b5ec-5a27-ace8-8504649a7b01,amazonia,Amazonia,,topic
48259b96-0745-517a-92c6-97ad11175a86,animal-research,Animal research,,topic
1eef25f7-ee1a-5f33-8823-42b633e1168a,anthropology,Anthropology,,topic
b86d9c3b-0090-56c9-8b55-327e9684d8a7,argentina,Argentina,,genre
bde3436f-8a02-5a63-898c-0e6613c959e9,audio-recordings,Audio recordings,,genre
ffc687e3-50af-5cdd-93cc-00bd6ea553e6,ayahuasca,Ayahuasca,,substance
9c19e28e-055b-5f59-b2ec-7e8e6f59236e,cannabis,cannabis,,substance
8b61353b-2510-5183-90c3-07bf2460fd25,counterculture,Counterculture,,topic
f32471aa-f62f-54d6-b86e-215a3ee887c8,documentary-film,Documentary film,,genre
c8af6d2e-5249-5e9d-a274-3dfc166fe1cc,esalen,Esalen,,topic
57aa1025-4fc4-592e-a77b-f243f3359c62,esp,ESP,,topic
1f4d866c-2de3-56ff-8b13-66b51f9dbe85,field-notes,Field Notes,,genre
428175b2-faba-54a7-9a83-9c57f32e6ab9,government-research,Government research,,topic
f03c4758-6380-5311-98b9-60047ce8d8d5,harold-abramson,Harold Abramson,,topic
f2394d92-f4a4-50a7-8471-f147597174e7,harold-fabing,Harold Fabing,,topic
964c76f5-9aa7-5bc8-ad61-231c4eae9bb4,human-potential,Human potential,,topic
e3f8e55b-03f8-5328-a3ab-8c3e5cbf05a2,jesuits,Jesuits,,topic
4a6d15f8-4242-51dc-9be4-e782cdf8dd82,joe-k-adams,Joe K. Adams,,topic
263411c6-525d-5525-bf22-ee509091c296,john-c-lilly,John C. Lilly,,topic
4f7fff45-1825-55d0-affc-bdfc56369621,lsd,LSD,,substance
079a9811-c6dd-5c3e-afa3-b281d8ab13f9,luisa-de-lvarez-de-toledo,Luisa de Álvarez de Toledo,,topic
477d54cf-b574-53cb-a50c-eed0762d75a1,manuscripts,Manuscripts,,genre
ed4404b1-4011-5ba9-86cf-0460c1e12aaa,margaret-mead,Margaret Mead,,topic
f4b0a623-572f-53a2-9be4-bea1e995450f,medical-film,Medical film,,genre
57959a4b-e861-56ce-9cce-db2c4c5c3730,mental-research-institute,Mental Research Institute,,topic
cbd2de92-fbf9-5e68-8f53-09611ad91bc8,military,Military,,topic
4e361576-6684-5620-bfcb-47ab55aba8e2,mkultra,MKULTRA,,topic
6a900c0b-8c6d-5001-967a-59780f4901d2,narcosynthesis,Narcosynthesis,,topic
ac85c39d-4d73-566d-b5c0-50665a217f5e,newspaper-articles,Newspaper articles,,genre
4944675f-fa7e-5ad4-ab77-5451836e2aea,nitrous-oxide,Nitrous oxide,,substance
fa974fd1-e8de-5224-bf56-6006bbcf0c18,printed-books,Printed books,,genre
e57d79ba-fcc5-5a7e-b595-35da70e9ca1a,psychedelic-therapy,Psychedelic therapy,,topic
a5333495-bd36-5fc7-bf56-69213b9e0dfd,psychoanalysis,Psychoanalysis,,topic
08f9a6b1-4ba0-50bb-ac47-27a2f9c280e8,psychotomimetic,Psychotomimetic,,topic
8bc1e3cb-73bc-54aa-aa4d-9cbe686c1826,ptsd,PTSD,,topic
502cd1ed-0861-5123-b1e5-17ceb79a8afa,sidney-cohen,Sidney Cohen,,topic
8990c94f-e90c-5f19-81c7-576b6e7a6a79,testimony,Testimony,,genre
9abed070-4fa4-5831-b248-c2908e004186,timothy-leary,Timothy Leary,,topic
d018ab48-cdc3-5c2f-af07-55be13e7d5fb,trial-records,Trial records,,topic
14ad2a05-c058-51c0-9727-9055e4ef3683,trip-reports,Trip reports,,topic
eec1e472-ff18-58a2-8e02-078a089dc7f9,ucla,UCLA,,topic
4a258303-75a5-5694-aa91-13c1d7219210,united-states,United States,,genre
ad88d0c5-1bcf-569d-88c7-4ae5da6263fa,william-james,William James,,topic
